feature_left,feature_right,correlation,abs_correlation
prior_subject_s_aureus_positive_90d,prior_subject_any_staph_positive_365d_flag,0.5509126211939135,0.5509126211939135
prior_subject_s_aureus_positive_365d,prior_subject_any_staph_positive_365d_flag,0.541133728131643,0.541133728131643
vital_temperature_c_min_24h,vital_temperature_c_max_24h,0.5339277869597683,0.5339277869597683
lab_wbc_min_24h,vital_map_min_24h,-0.5272050225917476,0.5272050225917476
vasopressor_event_count_24h,lab_lactate_count_24h,0.512021263296199,0.512021263296199
vital_resp_rate_last_24h,vital_resp_rate_max_24h,0.5116604320740255,0.5116604320740255
lab_wbc_last_24h,vital_map_min_24h,-0.502818906981981,0.502818906981981
lab_wbc_max_24h,vital_map_min_24h,-0.502818906981981,0.502818906981981
in_icu_at_alert,mechanical_ventilation_24h,0.500169887045676,0.500169887045676
lab_wbc_max_24h,lab_wbc_count_24h,0.4936658809779509,0.4936658809779509
in_icu_at_alert,lab_creatinine_count_24h,0.4825297035573108,0.4825297035573108
lab_wbc_min_24h,vital_map_last_24h,-0.47929515391382516,0.47929515391382516
in_icu_at_alert,vasopressor_active_24h,0.4756387323901037,0.4756387323901037
lab_wbc_max_24h,vital_temperature_c_last_24h,-0.4733419899148594,0.4733419899148594
lab_wbc_last_24h,vital_temperature_c_last_24h,-0.4733419899148594,0.4733419899148594
in_icu_at_alert,mechanical_ventilation_chart_events_24h,0.4681992073027924,0.4681992073027924
prealert_blood_culture_draws_24h,prealert_blood_culture_draws_7d,0.46578181051363515,0.46578181051363515
prior_subject_any_staph_positive_365d,prior_subject_cons_positive_365d_flag,0.46237468533552906,0.46237468533552906
vasopressor_active_24h,lab_lactate_count_24h,0.4602180840631471,0.4602180840631471
lab_wbc_min_24h,vital_temperature_c_last_24h,-0.45531145620202007,0.45531145620202007
lab_creatinine_count_24h,lab_lactate_count_24h,0.45365770610338046,0.45365770610338046
in_icu_at_alert,lab_lactate_count_24h,0.43637887586734586,0.43637887586734586
prior_subject_cons_positive_365d,prior_subject_any_staph_positive_365d_flag,0.43494532625040366,0.43494532625040366
lab_platelets_count_24h,lab_lactate_count_24h,0.4349245498309919,0.4349245498309919
lab_lactate_max_24h,lab_lactate_count_24h,0.434886724999831,0.434886724999831
vasopressor_on_at_alert,lab_lactate_count_24h,0.4301882739707084,0.4301882739707084
lab_wbc_last_24h,lab_wbc_count_24h,0.42451644531295096,0.42451644531295096
prior_subject_cons_positive_90d,prior_subject_any_staph_positive_365d,0.4172901335464235,0.4172901335464235
prior_subject_cons_positive_90d,prior_subject_any_staph_positive_365d_flag,0.4104677822809186,0.4104677822809186
in_icu_at_alert,vasopressor_on_at_alert,0.40648043531693295,0.40648043531693295
in_icu_at_alert,lab_platelets_count_24h,0.3908650117442646,0.3908650117442646
prealert_blood_culture_draws_7d,prealert_additional_draws_24h,0.3861993616037548,0.3861993616037548
lab_wbc_last_24h,vital_map_last_24h,-0.37408559560830845,0.37408559560830845
lab_wbc_max_24h,vital_map_last_24h,-0.37408559560830845,0.37408559560830845
in_icu_at_alert,vasopressor_event_count_24h,0.3726700262871293,0.3726700262871293
mechanical_ventilation_24h,vital_temperature_c_max_24h,0.37110628522579864,0.37110628522579864
vasopressor_active_24h,vital_resp_rate_count_24h,0.3671449030506699,0.3671449030506699
vasopressor_active_24h,vital_heart_rate_count_24h,0.36317113886413616,0.36317113886413616
lab_wbc_min_24h,vital_spo2_last_24h,0.36136246276633965,0.36136246276633965
lab_wbc_min_24h,vital_spo2_min_24h,-0.36096047967981193,0.36096047967981193
vasopressor_active_24h,vital_temperature_c_count_24h,0.35306439915247917,0.35306439915247917
vasopressor_active_24h,vital_spo2_count_24h,0.3519574640379294,0.3519574640379294
vasopressor_active_24h,vital_map_count_24h,0.3471868167874313,0.3471868167874313
lab_wbc_max_24h,vital_spo2_last_24h,0.344163274517343,0.344163274517343
lab_wbc_last_24h,vital_spo2_last_24h,0.344163274517343,0.344163274517343
lab_wbc_min_24h,lab_wbc_count_24h,0.3416736865087843,0.3416736865087843
mechanical_ventilation_chart_events_24h,vital_temperature_c_max_24h,0.3372996744305415,0.3372996744305415
lab_lactate_count_24h,vital_temperature_c_count_24h,0.33603991793080623,0.33603991793080623
vasopressor_event_count_24h,vital_temperature_c_count_24h,0.33461244283881364,0.33461244283881364
vasopressor_active_24h,vital_map_min_24h,-0.3344532685383016,0.3344532685383016
vasopressor_active_24h,mechanical_ventilation_chart_events_24h,0.3334587706900174,0.3334587706900174
prealert_blood_culture_draws_6h,prealert_blood_culture_draws_7d,0.33320954563735844,0.33320954563735844
vital_temperature_c_max_24h,vital_temperature_c_count_24h,0.32965009574273835,0.32965009574273835
vasopressor_active_24h,mechanical_ventilation_24h,0.3278437318035679,0.3278437318035679
vital_heart_rate_max_24h,vital_temperature_c_max_24h,0.32505510148741784,0.32505510148741784
vasopressor_on_at_alert,vital_temperature_c_count_24h,0.32372673354369497,0.32372673354369497
lab_creatinine_count_24h,vital_heart_rate_count_24h,0.3223630602820951,0.3223630602820951
lab_creatinine_count_24h,vital_spo2_count_24h,0.3220122829170133,0.3220122829170133
lab_platelets_count_24h,prealert_blood_culture_draws_24h,0.32145654605731916,0.32145654605731916
vasopressor_active_24h,lab_creatinine_count_24h,0.3209971263364294,0.3209971263364294
lab_creatinine_count_24h,vital_resp_rate_count_24h,0.320925267007233,0.320925267007233
vasopressor_on_at_alert,vital_heart_rate_count_24h,0.3191191479768086,0.3191191479768086
lab_platelets_count_24h,prealert_blood_culture_draws_7d,0.31726718821764543,0.31726718821764543
mechanical_ventilation_chart_events_24h,lab_lactate_count_24h,0.3166099374186981,0.3166099374186981
lab_creatinine_count_24h,vital_temperature_c_count_24h,0.31639700975383583,0.31639700975383583
lab_wbc_min_24h,vital_temperature_c_min_24h,-0.31518048903564205,0.31518048903564205
vasopressor_on_at_alert,vital_resp_rate_count_24h,0.3144728718019366,0.3144728718019366
lab_creatinine_count_24h,vital_map_count_24h,0.30782293971952446,0.30782293971952446
vasopressor_on_at_alert,vital_spo2_count_24h,0.30782079986334043,0.30782079986334043
vasopressor_event_count_24h,lab_creatinine_count_24h,0.30415780243657464,0.30415780243657464
vasopressor_on_at_alert,vital_map_count_24h,0.30348582530381585,0.30348582530381585
mechanical_ventilation_24h,lab_lactate_count_24h,0.30293215991071476,0.30293215991071476
lab_wbc_max_24h,vital_temperature_c_min_24h,-0.30228307848619934,0.30228307848619934
lab_wbc_last_24h,vital_temperature_c_min_24h,-0.30228307848619934,0.30228307848619934
vasopressor_on_at_alert,lab_creatinine_count_24h,0.3022420421675591,0.3022420421675591
vasopressor_on_at_alert,mechanical_ventilation_chart_events_24h,0.30018074221424906,0.30018074221424906
lab_creatinine_count_24h,prealert_blood_culture_draws_7d,0.29899257347558156,0.29899257347558156
vasopressor_event_count_24h,mechanical_ventilation_chart_events_24h,0.2975488372169392,0.2975488372169392
lab_lactate_last_24h,lab_lactate_count_24h,0.29501570920282083,0.29501570920282083
vasopressor_event_count_24h,lab_lactate_max_24h,0.29461036097810905,0.29461036097810905
vasopressor_event_count_24h,vital_heart_rate_count_24h,0.29346622739192757,0.29346622739192757
vasopressor_event_count_24h,vital_resp_rate_count_24h,0.29183293941304084,0.29183293941304084
anchor_age,vital_temperature_c_max_24h,-0.2902263082592741,0.2902263082592741
vasopressor_on_at_alert,mechanical_ventilation_24h,0.28966823394143293,0.28966823394143293
vital_temperature_c_max_24h,vital_spo2_count_24h,0.28954349426324066,0.28954349426324066
vasopressor_event_count_24h,vital_map_count_24h,0.28936080649260454,0.28936080649260454
lab_creatinine_count_24h,prealert_blood_culture_draws_24h,0.2884162029214504,0.2884162029214504
vasopressor_active_24h,vital_map_last_24h,-0.28604088980782394,0.28604088980782394
lab_lactate_count_24h,vital_heart_rate_count_24h,0.28446524036761667,0.28446524036761667
lab_lactate_count_24h,vital_resp_rate_count_24h,0.2833923756665843,0.2833923756665843
in_icu_at_alert,vital_resp_rate_max_24h,0.28222127851405926,0.28222127851405926
vasopressor_event_count_24h,vital_spo2_count_24h,0.2820505127245386,0.2820505127245386
lab_creatinine_last_24h,vital_map_min_24h,-0.2814846022486739,0.2814846022486739
lab_lactate_last_24h,vital_map_last_24h,-0.2812593272240203,0.2812593272240203
vasopressor_event_count_24h,vital_map_min_24h,-0.28103904897166243,0.28103904897166243
vasopressor_event_count_24h,mechanical_ventilation_24h,0.28057506099177454,0.28057506099177454
lab_lactate_count_24h,vital_spo2_count_24h,0.27987652191976886,0.27987652191976886
vital_heart_rate_last_24h,vital_resp_rate_last_24h,0.27984972928301793,0.27984972928301793
lab_creatinine_max_24h,vital_map_min_24h,-0.27877887089514397,0.27877887089514397
lab_creatinine_count_24h,vital_temperature_c_min_24h,-0.27861648109258935,0.27861648109258935
vital_map_min_24h,vital_map_count_24h,-0.2781795065996341,0.2781795065996341
vital_resp_rate_max_24h,vital_resp_rate_count_24h,0.2777909620355543,0.2777909620355543
index_hours_draw_to_alert,prealert_blood_culture_draws_24h,-0.2771795869746722,0.2771795869746722
lab_creatinine_max_24h,vital_map_last_24h,-0.27456663990841534,0.27456663990841534
vital_heart_rate_count_24h,vital_temperature_c_max_24h,0.27337486142263384,0.27337486142263384
vital_heart_rate_max_24h,vital_spo2_count_24h,0.27325369703362357,0.27325369703362357
vasopressor_on_at_alert,vital_map_last_24h,-0.27038941864916366,0.27038941864916366
lab_creatinine_last_24h,vital_map_last_24h,-0.2699746438743833,0.2699746438743833
vital_resp_rate_max_24h,vital_temperature_c_max_24h,0.2699443123305615,0.2699443123305615
vasopressor_on_at_alert,vital_map_min_24h,-0.26926398368257737,0.26926398368257737
vital_resp_rate_count_24h,vital_map_min_24h,-0.26899096867540817,0.26899096867540817
vital_resp_rate_max_24h,vital_spo2_count_24h,0.2689579285580262,0.2689579285580262
lab_lactate_count_24h,vital_map_count_24h,0.26881662550925034,0.26881662550925034
lab_lactate_max_24h,vital_map_last_24h,-0.26795047573153047,0.26795047573153047
in_icu_at_alert,vital_temperature_c_max_24h,0.2678966729301657,0.2678966729301657
vital_resp_rate_count_24h,vital_temperature_c_max_24h,0.26363663419214345,0.26363663419214345
vital_heart_rate_count_24h,vital_map_min_24h,-0.26230962544601005,0.26230962544601005
lab_platelets_count_24h,vital_spo2_count_24h,0.26219492080138807,0.26219492080138807
vital_heart_rate_max_24h,vital_heart_rate_count_24h,0.2609504276890591,0.2609504276890591
lab_platelets_count_24h,vital_heart_rate_count_24h,0.26010588099946214,0.26010588099946214
lab_platelets_count_24h,vital_temperature_c_count_24h,0.26001065039787274,0.26001065039787274
lab_platelets_count_24h,vital_resp_rate_count_24h,0.25655761733164134,0.25655761733164134
mechanical_ventilation_24h,lab_creatinine_count_24h,0.25628143278605386,0.25628143278605386
vasopressor_event_count_24h,lab_lactate_last_24h,0.2538085228671311,0.2538085228671311
vasopressor_event_count_24h,vital_map_last_24h,-0.25310095090402923,0.25310095090402923
anchor_age,vital_temperature_c_last_24h,-0.2501265450575004,0.2501265450575004
mechanical_ventilation_24h,vital_temperature_c_last_24h,0.24987489516805117,0.24987489516805117
mechanical_ventilation_chart_events_24h,lab_creatinine_count_24h,0.24958322225197452,0.24958322225197452
vital_heart_rate_max_24h,vital_resp_rate_count_24h,0.2485992516613881,0.2485992516613881
vital_heart_rate_count_24h,vital_resp_rate_max_24h,0.248452363208458,0.248452363208458
vasopressor_event_count_24h,lab_platelets_count_24h,0.24823522766216694,0.24823522766216694
vasopressor_active_24h,lab_platelets_count_24h,0.24658235731311104,0.24658235731311104
lab_platelets_count_24h,prealert_additional_draws_24h,0.24322356175803578,0.24322356175803578
lab_platelets_count_24h,vital_map_count_24h,0.24143943728477016,0.24143943728477016
lab_lactate_count_24h,vital_temperature_c_min_24h,-0.23934272841441223,0.23934272841441223
vital_heart_rate_max_24h,vital_map_count_24h,0.23523832813518855,0.23523832813518855
vital_heart_rate_max_24h,vital_resp_rate_max_24h,0.23500228173002144,0.23500228173002144
lab_lactate_max_24h,vital_map_min_24h,-0.233111142262193,0.233111142262193
anchor_age,vital_heart_rate_last_24h,-0.2283208855739747,0.2283208855739747
in_icu_at_alert,vital_spo2_last_24h,0.2282254557580834,0.2282254557580834
vasopressor_on_at_alert,lab_platelets_count_24h,0.22773961394114928,0.22773961394114928
lab_creatinine_last_24h,prior_subject_any_staph_positive_365d,0.2257517393287469,0.2257517393287469
mechanical_ventilation_chart_events_24h,vital_temperature_c_last_24h,0.22545557981171385,0.22545557981171385
vital_map_min_24h,vital_spo2_count_24h,-0.2247100860785952,0.2247100860785952
lab_creatinine_max_24h,prior_subject_any_staph_positive_365d,0.22360186900358206,0.22360186900358206
vital_heart_rate_min_24h,vital_resp_rate_last_24h,0.22107216406025013,0.22107216406025013
anchor_age,vital_heart_rate_max_24h,-0.22022309974945736,0.22022309974945736
vital_resp_rate_last_24h,vital_spo2_last_24h,0.2190440033565669,0.2190440033565669
vital_heart_rate_max_24h,vital_temperature_c_count_24h,0.21890577840295447,0.21890577840295447
lab_platelets_min_24h,lab_platelets_count_24h,-0.21831984458456666,0.21831984458456666
in_icu_at_alert,vital_heart_rate_max_24h,0.21806593769272156,0.21806593769272156
anchor_age,vital_temperature_c_min_24h,-0.21527330931543065,0.21527330931543065
vital_resp_rate_max_24h,vital_temperature_c_count_24h,0.21487359868527528,0.21487359868527528
vital_heart_rate_last_24h,vital_map_last_24h,0.21472525722413896,0.21472525722413896
index_hours_draw_to_alert,prealert_blood_culture_draws_6h,-0.21352765285919134,0.21352765285919134
lab_platelets_last_24h,vital_temperature_c_min_24h,0.2134256530755053,0.2134256530755053
lab_platelets_min_24h,vital_temperature_c_min_24h,0.21233846992868924,0.21233846992868924
lab_wbc_last_24h,vital_spo2_min_24h,-0.21201283189905695,0.21201283189905695
lab_wbc_max_24h,vital_spo2_min_24h,-0.21201283189905695,0.21201283189905695
lab_creatinine_count_24h,prealert_additional_draws_24h,0.21190989579875696,0.21190989579875696
lab_platelets_last_24h,vital_temperature_c_max_24h,0.2111280339786403,0.2111280339786403
vital_temperature_c_max_24h,vital_map_count_24h,0.2089260694696435,0.2089260694696435
lab_platelets_count_24h,lab_lactate_max_24h,0.20838453890494543,0.20838453890494543
lab_lactate_max_24h,vital_spo2_min_24h,-0.20637563487736485,0.20637563487736485
vital_resp_rate_last_24h,vital_temperature_c_max_24h,0.20624581307943135,0.20624581307943135
vital_heart_rate_last_24h,vital_temperature_c_max_24h,0.2048491177413014,0.2048491177413014
index_hours_draw_to_alert,prealert_additional_draws_24h,-0.20430376544635873,0.20430376544635873
anchor_age,vital_map_last_24h,-0.2039250143651122,0.2039250143651122
lab_platelets_min_24h,vital_temperature_c_max_24h,0.20342552390826946,0.20342552390826946
vital_heart_rate_last_24h,vital_resp_rate_max_24h,0.20324742973768073,0.20324742973768073
vital_resp_rate_last_24h,vital_spo2_min_24h,0.2027009577133537,0.2027009577133537
vasopressor_on_at_alert,vital_temperature_c_min_24h,-0.202028020363623,0.202028020363623
anchor_age,vital_map_min_24h,-0.20202470747917645,0.20202470747917645
lab_lactate_last_24h,vital_spo2_min_24h,-0.20089790770921323,0.20089790770921323
lab_lactate_count_24h,vital_map_min_24h,-0.20075461750846488,0.20075461750846488
mechanical_ventilation_24h,lab_platelets_count_24h,0.1984595635866858,0.1984595635866858
prealert_blood_culture_draws_7d,prior_subject_s_aureus_positive_365d_flag,0.19826995177245899,0.19826995177245899
in_icu_at_alert,vital_heart_rate_last_24h,0.1978436345634988,0.1978436345634988
lab_creatinine_last_24h,prior_subject_any_staph_positive_365d_flag,0.195894059154952,0.195894059154952
lab_creatinine_max_24h,prior_subject_any_staph_positive_365d_flag,0.1951185540118147,0.1951185540118147
vital_heart_rate_max_24h,vital_temperature_c_last_24h,0.1950209397652927,0.1950209397652927
lab_lactate_max_24h,vital_temperature_c_last_24h,-0.19436015681429558,0.19436015681429558
lab_lactate_last_24h,vital_map_min_24h,-0.19345012645128243,0.19345012645128243
mechanical_ventilation_chart_events_24h,lab_platelets_count_24h,0.19279079000894178,0.19279079000894178
lab_platelets_last_24h,lab_platelets_count_24h,-0.1915400529581632,0.1915400529581632
lab_creatinine_last_24h,prior_subject_s_aureus_positive_365d_flag,0.18812897828286687,0.18812897828286687
vital_heart_rate_last_24h,vital_temperature_c_count_24h,0.18762662937355315,0.18762662937355315
vital_heart_rate_last_24h,vital_temperature_c_last_24h,0.18726364497129222,0.18726364497129222
lab_creatinine_max_24h,prior_subject_s_aureus_positive_365d_flag,0.1869417080116356,0.1869417080116356
lab_platelets_count_24h,vital_heart_rate_last_24h,0.1860971900743691,0.1860971900743691
lab_creatinine_last_24h,prior_subject_s_aureus_positive_365d,0.1827071455784202,0.1827071455784202
lab_creatinine_max_24h,prior_subject_s_aureus_positive_365d,0.18016879465858096,0.18016879465858096
lab_platelets_min_24h,lab_lactate_max_24h,-0.17963830586632604,0.17963830586632604
lab_wbc_max_24h,vital_temperature_c_max_24h,-0.17926043966311514,0.17926043966311514
lab_wbc_last_24h,vital_temperature_c_max_24h,-0.17926043966311514,0.17926043966311514
lab_platelets_count_24h,prealert_blood_culture_draws_6h,0.1780202569086217,0.1780202569086217
lab_platelets_min_24h,lab_lactate_last_24h,-0.1773650744992668,0.1773650744992668
lab_wbc_min_24h,vital_resp_rate_max_24h,0.17733466170031403,0.17733466170031403
lab_creatinine_count_24h,vital_spo2_last_24h,0.17444362806245414,0.17444362806245414
lab_lactate_last_24h,vital_temperature_c_last_24h,-0.17419254554896846,0.17419254554896846
index_hours_draw_to_alert,prealert_blood_culture_draws_7d,-0.1738692573708903,0.1738692573708903
vasopressor_active_24h,vital_temperature_c_min_24h,-0.17362411556145854,0.17362411556145854
lab_platelets_count_24h,index_hours_draw_to_alert,-0.1725149779330795,0.1725149779330795
lab_platelets_last_24h,lab_lactate_last_24h,-0.17244072323936574,0.17244072323936574
lab_creatinine_count_24h,lab_lactate_max_24h,0.1719984293249311,0.1719984293249311
lab_platelets_last_24h,lab_lactate_max_24h,-0.17191603893589424,0.17191603893589424
lab_creatinine_count_24h,vital_temperature_c_last_24h,-0.1714571070046347,0.1714571070046347
lab_lactate_count_24h,vital_map_last_24h,-0.16926908481950173,0.16926908481950173
lab_platelets_min_24h,vital_temperature_c_last_24h,0.16896764186200036,0.16896764186200036
vasopressor_event_count_24h,vital_temperature_c_min_24h,-0.1683845525571427,0.1683845525571427
lab_platelets_last_24h,vital_temperature_c_last_24h,0.16626838462665616,0.16626838462665616
vital_heart_rate_min_24h,vital_resp_rate_max_24h,0.1651607650242264,0.1651607650242264
lab_platelets_count_24h,vital_temperature_c_min_24h,-0.16428005389212025,0.16428005389212025
lab_lactate_max_24h,vital_temperature_c_max_24h,-0.16383260813416717,0.16383260813416717
lab_creatinine_max_24h,vital_temperature_c_min_24h,-0.16337318204911597,0.16337318204911597
vital_heart_rate_last_24h,vital_map_min_24h,0.16198792703664294,0.16198792703664294
lab_platelets_min_24h,vital_map_last_24h,0.16163265448519934,0.16163265448519934
vital_spo2_last_24h,vital_spo2_count_24h,0.16083308941320942,0.16083308941320942
vital_heart_rate_min_24h,vital_map_min_24h,0.16058850194966198,0.16058850194966198
vital_resp_rate_last_24h,vital_temperature_c_last_24h,0.1599601976514343,0.1599601976514343
vital_heart_rate_min_24h,vital_temperature_c_max_24h,0.15934887530861552,0.15934887530861552
lab_lactate_last_24h,prior_subject_s_aureus_positive_365d,0.1590319083556189,0.1590319083556189
vital_heart_rate_min_24h,vital_map_last_24h,0.15863666561352854,0.15863666561352854
vasopressor_active_24h,lab_lactate_max_24h,0.1583326634358738,0.1583326634358738
lab_creatinine_last_24h,prior_subject_s_aureus_positive_90d,0.1581423970479714,0.1581423970479714
vital_temperature_c_min_24h,vital_map_min_24h,0.15794385318499218,0.15794385318499218
prealert_blood_culture_draws_7d,prior_subject_s_aureus_positive_90d,0.15687879280107606,0.15687879280107606
lab_creatinine_max_24h,prior_subject_s_aureus_positive_90d,0.1552874279778578,0.1552874279778578
lab_platelets_last_24h,vital_map_last_24h,0.15485739076618085,0.15485739076618085
lab_platelets_count_24h,vital_heart_rate_min_24h,0.1544983087056208,0.1544983087056208
prealert_blood_culture_draws_7d,prior_subject_any_staph_positive_365d_flag,0.15442071723860895,0.15442071723860895
lab_platelets_min_24h,index_hours_draw_to_alert,0.1541573818499397,0.1541573818499397
lab_wbc_count_24h,vital_temperature_c_max_24h,0.15389254707684918,0.15389254707684918
lab_creatinine_count_24h,index_hours_draw_to_alert,-0.15385659516364555,0.15385659516364555
vital_heart_rate_last_24h,vital_spo2_count_24h,0.15354170534660092,0.15354170534660092
lab_platelets_last_24h,index_hours_draw_to_alert,0.1532651674678869,0.1532651674678869
vital_resp_rate_max_24h,vital_map_count_24h,0.15259121718969473,0.15259121718969473
vital_temperature_c_last_24h,vital_temperature_c_count_24h,0.15249154061875506,0.15249154061875506
lab_creatinine_max_24h,vital_temperature_c_last_24h,-0.1517538099654156,0.1517538099654156
vital_resp_rate_max_24h,vital_temperature_c_last_24h,0.1514401681926541,0.1514401681926541
lab_creatinine_last_24h,prior_subject_cons_positive_365d,0.1507558942010063,0.1507558942010063
lab_creatinine_max_24h,prior_subject_cons_positive_365d,0.1505602319862772,0.1505602319862772
mechanical_ventilation_24h,vital_resp_rate_max_24h,0.15000185041450684,0.15000185041450684
lab_lactate_max_24h,vital_temperature_c_min_24h,-0.14948604313979427,0.14948604313979427
lab_creatinine_max_24h,vital_temperature_c_max_24h,-0.14840325988213404,0.14840325988213404
anchor_age,vital_heart_rate_min_24h,-0.1482703011592084,0.1482703011592084
lab_platelets_min_24h,lab_creatinine_count_24h,-0.14676083029178594,0.14676083029178594
lab_creatinine_last_24h,vital_temperature_c_min_24h,-0.1467275432535087,0.1467275432535087
vital_temperature_c_max_24h,prealert_blood_culture_draws_24h,0.14564870720552586,0.14564870720552586
mechanical_ventilation_24h,vital_heart_rate_max_24h,0.1449557752728817,0.1449557752728817
lab_creatinine_count_24h,prealert_blood_culture_draws_6h,0.1441747349633559,0.1441747349633559
lab_lactate_last_24h,prior_subject_any_staph_positive_365d,0.143346408420984,0.143346408420984
lab_creatinine_last_24h,vital_temperature_c_max_24h,-0.1429134385699027,0.1429134385699027
